time,phi,initial_phi,constraint
0.0,0.1,0.1,1.0
0.023595073443755655,0.09996451412839671,0.1,1.0
0.07359507344375565,0.09988934451960985,0.1,1.0
0.12359507344375566,0.09981421299118755,0.1,1.0
0.17359507344375566,0.09973911955135539,0.1,1.0
0.22359507344375568,0.09966406420829343,0.1,1.0
0.27359507344375567,0.09958904697013625,0.1,1.0
0.32359507344375565,0.09951406784497298,0.1,1.0
0.37359507344375564,0.09943912684084735,0.1,1.0
0.42359507344375563,0.09936422396575771,0.1,1.0
0.4735950734437556,0.09928935922765703,0.1,1.0
0.5235950734437557,0.09921453263445297,0.1,1.0
0.5735950734437557,0.09913974419400791,0.1,1.0
0.6235950734437558,0.09906499391413896,0.1,1.0
0.6735950734437558,0.09899028180261801,0.1,1.0
0.7235950734437558,0.09891560786717175,0.1,1.0
0.7735950734437559,0.0988409721154817,0.1,1.0
0.8235950734437559,0.09876637455518426,0.1,1.0
0.873595073443756,0.09869181519387071,0.1,1.0
0.923595073443756,0.09861729403908728,0.1,1.0
0.9735950734437561,0.09854281109833515,0.1,1.0
1.023595073443756,0.0984683663790705,0.1,1.0
1.073595073443756,0.09839395988870454,0.1,1.0
1.123595073443756,0.09831959163460353,0.1,1.0
1.1735950734437561,0.09824526162408884,0.1,1.0
1.2235950734437562,0.09817096986443692,0.1,1.0
1.2735950734437562,0.09809671636287944,0.1,1.0
1.3235950734437563,0.0980225011266032,0.1,1.0
1.3735950734437563,0.09794832416275026,0.1,1.0
1.4235950734437564,0.0978741854784179,0.1,1.0
1.4735950734437564,0.09780008508065874,0.1,1.0
1.5235950734437564,0.09772602297648066,0.1,1.0
1.5735950734437565,0.0976519991728469,0.1,1.0
1.6235950734437565,0.09757801367667615,0.1,1.0
1.6735950734437566,0.09750406649484243,0.1,1.0
1.7235950734437566,0.09743015763417527,0.1,1.0
1.7735950734437567,0.09735628710145966,0.1,1.0
1.8235950734437567,0.09728245490343612,0.1,1.0
1.8735950734437568,0.0972086610468007,0.1,1.0
1.9235950734437568,0.09713490553820507,0.1,1.0
1.9735950734437568,0.0970611883842565,0.1,1.0
2.0235950734437567,0.09698750959151788,0.1,1.0
2.0735950734437565,0.09691386916650784,0.1,1.0
2.1235950734437563,0.09684026711570069,0.1,1.0
2.173595073443756,0.09676670344552653,0.1,1.0
2.223595073443756,0.0966931781623712,0.1,1.0
2.2735950734437558,0.0966196912725764,0.1,1.0
2.3235950734437556,0.09654624278243966,0.1,1.0
