gradient,final_disorder,final_proton_flux,final_s,final_ms
0.5,0.05,38.969231412106616,40.05486772319023,48.76677620139383
1.0,0.05,106.23773220645629,73.32877037769747,78.37205071804209
3.0,0.05,360.9649063288071,92.52015063590653,95.66745964995725
5.0,0.05,613.4818450964598,95.9733769173238,98.66964097421285
