step,network_efficiency,mean_s,mean_ms
0,0.5000330338462972,0.9975066335233443,0.10260340933769735
1,0.500063723237112,0.9950217669789796,0.10521880851993655
2,0.5000925255836745,0.992545424586332,0.10784651421154622
3,0.5001197784647644,0.9900776794544054,0.11048700766231513
4,0.5001457882746241,0.9876186527896295,0.11314093988793102
5,0.5001708227276431,0.9851685156087955,0.11580914062246671
6,0.5001951214504354,0.9827274928068455,0.11849263105102034
7,0.5002188973548627,0.9802958696048958,0.12119264052670219
8,0.5002423469846375,0.9778740005592498,0.12390547388090285
9,0.5002656556342273,0.9754622526495963,0.12663042752289147
10,0.5002890011168738,0.9730610439908797,0.12936822604138642
11,0.5003125587114011,0.9706708673164518,0.13211977735427985
12,0.5003365050678237,0.9682922995235665,0.13488618945694283
13,0.500361023342439,0.9659260124967964,0.13766879122951417
14,0.5003863049093167,0.9635727851842403,0.14046915786006633
15,0.5004125539502486,0.961233516874773,0.14328914155216907
16,0.5004399923292578,0.9589092416096402,0.14613090831000214
17,0.5004688640990805,0.9566011436896998,0.14899698172826126
18,0.5004994409537373,0.9543105743707833,0.15189029484726033
19,0.5005320276228016,0.9520390701802733,0.1548142512408393
20,0.5005669688694651,0.949788374017756,0.1577727965299488
21,0.5006046581318851,0.947560461610946,0.16077050133696902
22,0.5006455481945907,0.9453575784281076,0.16381265605718426
23,0.5006901646389358,0.9431822964365738,0.1669053761803738
24,0.5007391234237188,0.9410376069746295,0.17005571310302334
25,0.5007931552445408,0.9389270763563003,0.17327175702715153
26,0.5008531406619525,0.9368551050267412,0.17656270060631626
27,0.5009201620849615,0.9348273138590429,0.17993879396232593
28,0.50099558128045,0.9328329236720894,0.18341103994735952
29,0.501080813028475,0.9308805008567007,0.1869891429702402
30,0.5011776984434003,0.9289803708657454,0.1906792674029246
31,0.5012885869005788,0.9271429254755039,0.19447964745483967
32,0.5014162547523577,0.925372426397552,0.19837335739363415
33,0.5015632655362418,0.9236496264077264,0.2023206264427578
34,0.5017298982438623,0.9218914174425703,0.20626535657681797
35,0.501856402641879,0.919942073192286,0.2102216643937022
36,0.5019033237097784,0.9186604933454231,0.2146143775208345
37,0.5022752902768336,0.9169247571780259,0.21900783118057293
38,0.5024020520349073,0.9159063682704622,0.22419789358209005
39,0.5030143590742021,0.9148709951967546,0.22920149536358148
40,0.5043109430369245,0.9138905845623947,0.2346654552231952
41,0.5061704812983444,0.9135044725405962,0.24134612752653029
42,0.5074172908334504,0.914014474144194,0.2499051719057019
43,0.5088632788998672,0.9159302884363592,0.25877127625475815
44,0.5120536577820978,0.9177138267398601,0.2682264304932748
45,0.51615133192711,0.9207166754407085,0.2798513665501977
46,0.5209536998185549,0.9258229184548771,0.2942102005352145
47,0.5259994678087849,0.9330026863796578,0.31177180495780876
48,0.5315518171696404,0.9429050335829088,0.33195019138742327
49,0.5377483515694719,0.9548893483946583,0.3557679409004559
50,0.5440152391470894,0.9700555070307659,0.38310108413287364
51,0.5511477179990385,0.9881327275512686,0.4126657606794651
52,0.5581734104851586,1.0088044596653618,0.4467577337988349
53,0.5652664872659026,1.033067579332901,0.48449825650571127
54,0.5726951563716844,1.0597739579997694,0.5248175755621938
55,0.5807406934154523,1.0897173138254068,0.5683756560088413
56,0.5900044289978017,1.1226900586349247,0.6165814160343888
57,0.5994326380704911,1.1597550266083212,0.6695620654364212
58,0.6099871904815685,1.2013389787534248,0.72669657122555
59,0.6219976732058929,1.2473101819873296,0.7898562323697487
60,0.6354487107422745,1.297793846445182,0.857612443082955
61,0.6496659777049142,1.3520440110069771,0.9299465054277837
62,0.6642302814200656,1.4098708127959274,1.0060305870707087
63,0.6827760540192068,1.4713784327483757,1.0869316009307088
64,0.702287142115594,1.5384259496746977,1.1742075762331545
65,0.7219214082782663,1.611015227760057,1.2663335727116722
66,0.7450529734810075,1.6881165154202746,1.3630228263121782
67,0.7716421340373439,1.7704313004346361,1.4659426125420756
68,0.8023184380861744,1.8594061248280556,1.5764137032058256
69,0.8341645161947621,1.9536473550300848,1.692958194359747
70,0.8705871788763087,2.0545638844391387,1.8169263466720507
71,0.9112184663483376,2.161414182750053,1.947700057818135
72,0.9560163125230347,2.2757856835492585,2.084588417966833
73,1.0109228742868663,2.3955907989305882,2.228186201872704
74,1.0737806942870476,2.5221883672516787,2.379926792986981
75,1.1465407861765893,2.657012578749579,2.53930009139311
76,1.2310772996185744,2.7984368945929092,2.7060398806025856
77,1.3330097571573967,2.9478856640885005,2.8818935554182525
78,1.4620438977938635,3.1048302444054285,3.0662255978760427
79,1.6175822037202738,3.271259110382809,3.2601043667508267
80,1.8040818312133844,3.4457018044229275,3.461852959375362
81,1.9922938616942103,3.630867639880177,3.669878675206119
82,2.1926489112698486,3.8221063182544572,3.8820426588253714
83,2.422194089758957,4.019348892786757,4.099405995085232
84,2.6890313898267273,4.221751094600941,4.320970944936274
85,2.9882648867489014,4.429545845026997,4.547003861219201
86,3.3087729395844883,4.641928297746761,4.775882729636961
87,3.655130608147367,4.85827086253523,5.0074623447833
88,4.065781213336034,5.0780797986814985,5.24180770000624
89,4.51376421106835,5.301825283878335,5.479415850566366
90,4.966923018375626,5.52831383559,5.718848983814929
91,5.474789674962325,5.7577144938507745,5.959962042958444
92,6.072230695772381,5.988324379395925,6.202556538954764
93,6.650082408916205,6.2219793339360185,6.447579680228768
94,7.288565950640698,6.456577076920256,6.693008357988564
95,7.937630954990318,6.693686147309342,6.940816490367074
96,8.578357170557712,6.931245619166744,7.188199861709186
97,9.18593489036536,7.170516257774128,7.437054409374128
98,9.552238640770154,7.409774486920581,7.6854416143007285
99,9.737436369658148,7.650449605136804,7.934489202334828
100,9.862591354025607,7.890171791502397,8.182270129730972
101,9.862557407402965,8.130561962823858,8.430597249048601
102,9.862543558079873,8.369820362023642,8.678053794666106
103,9.862803865263608,8.609611557916798,8.926257150424076
104,9.862937480565266,8.848269811118584,9.173589567768774
105,9.863196359480387,9.087463529022006,9.421669221848864
106,9.863329592896422,9.325523136590787,9.66887757298489
107,9.863587047697864,9.564120870199451,9.916833587237939
108,9.863719900954885,9.80158332874931,10.163917934198397
109,9.86397593578761,10.039586568023951,10.41175037044432
110,9.86410841060694,10.276453370427436,10.658710775231297
111,9.86436302960594,10.51386360160389,10.906419695259098
112,9.86449512770362,10.750136237001367,11.153256219843682
