time,host,parasite,resource,scenario,boundary_specificity
0.0,0.8,0.05,1.0,open_boundary,0.0
0.01320176291940535,0.8015304595428515,0.050214737721703304,0.9959603918303408,open_boundary,0.0
0.11320176291940535,0.8130625094606879,0.051854943003430715,0.9666194864427565,open_boundary,0.0
0.21320176291940535,0.8244893083601837,0.053519383518873156,0.9393838493266042,open_boundary,0.0
0.3132017629194054,0.8358142827945242,0.05520835702976877,0.9140969663170229,open_boundary,0.0
0.41320176291940536,0.8470412976537942,0.05692223423232685,0.8906130134281174,open_boundary,0.0
0.5132017629194053,0.8581745781964896,0.05866145434499353,0.8687962116947643,open_boundary,0.0
0.6132017629194053,0.8692186360313804,0.06042652035003981,0.8485202143447741,open_boundary,0.0
0.7132017629194053,0.8801781998010256,0.06221799401816265,0.829667524998226,open_boundary,0.0
0.8132017629194053,0.8910581511055369,0.06403649083120995,0.8121289456774541,open_boundary,0.0
0.9132017629194052,0.9018634660114767,0.06588267490293084,0.795803053479981,open_boundary,0.0
1.0132017629194052,0.9125991623194969,0.06775725398209065,0.7805957048205757,open_boundary,0.0
1.1132017629194053,0.9232702526172952,0.06966097460700892,0.7664195661903476,open_boundary,0.0
1.2132017629194054,0.9338817030221117,0.07159461746606909,0.7531936704129785,open_boundary,0.0
1.3132017629194055,0.9444383974186206,0.0735589930053621,0.7408429974031603,open_boundary,0.0
1.4132017629194056,0.9549451069222116,0.07555493731259336,0.7292980784521049,open_boundary,0.0
1.5132017629194057,0.965406464242232,0.07758330829582656,0.7184946230813695,open_boundary,0.0
1.6132017629194058,0.975826942582394,0.07964498216659703,0.708373167520636,open_boundary,0.0
1.7132017629194058,0.9862108386937026,0.08174085022937067,0.6988787438786727,open_boundary,0.0
1.813201762919406,0.9965622596863862,0.08387181597317382,0.6899605690903747,open_boundary,0.0
1.913201762919406,1.0068851132089929,0.08603879245636066,0.6815717527372027,open_boundary,0.0
2.013201762919406,1.0171831006128014,0.08824269997178412,0.673669022853973,open_boundary,0.0
2.113201762919406,1.0274597127359757,0.09048446397695163,0.6662124688520792,open_boundary,0.0
2.213201762919406,1.0377182279627033,0.09276501327193175,0.6591653007079917,open_boundary,0.0
2.313201762919406,1.0479617122364113,0.09508527840669422,0.6524936235863157,open_boundary,0.0
2.4132017629194062,1.0581930207317893,0.0974461902990824,0.646166227088723,open_boundary,0.0
2.5132017629194063,1.0684148009167618,0.099848679044615,0.6401543883435937,open_boundary,0.0
