step,mean_flux,peak_interface_flux,mean_s,mean_ms
0,0.14940865627357353,0.1057183957759716,0.9975369046847234,0.10742043281367869
1,0.15934716872342589,0.11115241211365055,0.9951344072764605,0.11531937574933589
2,0.16877956575849476,0.11625625156831595,0.99279444150474,0.1236807951043967
3,0.17778352477904197,0.12110869278424403,0.9905197792237763,0.13249313376069685
4,0.18642891260330952,0.1257709730671217,0.9883139335647289,0.14174897626717384
5,0.1947790533801668,0.1302910806160562,0.9861811198732837,0.15144480390885812
6,0.20289183102237876,0.13470693356246508,0.984126260381537,0.1615808245247028
7,0.21082066214515086,0.1390487493963493,0.9821550239857375,0.17216086852377832
8,0.21861536637210957,0.1433408219948756,0.9802738962514966,0.1831923467264311
9,0.22632295523671933,0.14760286252941382,0.9784902775185111,0.19468626844345804
10,0.2339883573700816,0.15185101733769493,0.9768126091307324,0.20665732026875186
11,0.2416550954089074,0.15609864508378263,0.9752505296375199,0.21912400779969904
12,0.24936592860188225,0.16035691349559034,0.9738150644826074,0.23210886416184026
13,0.25716347415863555,0.16463526009896756,0.9725188543653923,0.24563873096207844
14,0.26509081980609983,0.16894174986769536,0.9713764292474348,0.2597451192478428
15,0.2731921396853277,0.1732833543263538,0.9704045370039434,0.2744646603127267
16,0.28151332555645786,0.17766617049656255,0.9696225381078232,0.2898396588705179
17,0.29010264519937756,0.18270221115075283,0.969052880619173,0.3059187643464038
18,0.2990114397995553,0.18826642320505227,0.9687216732974339,0.3227577799676623
19,0.3082948718430427,0.19393192150059857,0.9686593790556722,0.34042063419036017
20,0.3180127343849234,0.1997002927394727,0.9689016564910339,0.35898054506683014
21,0.32823033115413336,0.205573181148886,0.9694903841886309,0.3785214158542674
22,0.33901943428498826,0.21155230032767292,0.970474911371209,0.39913951008491694
23,0.3504593217217445,0.2176394403009483,0.9719135899207573,0.4209454673471747
24,0.36263788833162014,0.22383647134812729,0.9738756578405835,0.4440667385012697
25,0.37565281172208,0.23014534569953274,0.9764435644644583,0.46865054302790493
26,0.38961273313756467,0.23656809786427602,0.9797158558276177,0.49463965441020474
27,0.4046383819966163,0.2431068441172329,0.9838045192473346,0.5217818545551358
28,0.4208635246770923,0.24976378150740594,0.9888308809904687,0.5502419207711964
29,0.4384324176650367,0.25654118663358716,0.994938547055878,0.580219808638409
30,0.45749250509575795,0.26344141435167384,1.002298891974222,0.6119590826848964
31,0.47819022320826043,0.2704668965210606,1.0111187717904873,0.6457576044332661
32,0.50066467760686,0.2776201408580108,1.021651622866821,0.6819809924388053
33,0.525038667869796,0.28490372993667173,1.0342136618691482,0.7210793467482275
34,0.5514066085902168,0.29232032035981326,1.048895372225935,0.7614668528769679
35,0.5798191957510934,0.29987264210886244,1.0652403374199284,0.8027966743356708
36,0.6101092972263422,0.3075634980745541,1.0836255734614955,0.845254770011231
37,0.641616736896658,0.315395763764231,1.1044782883733415,0.8890726987783651
38,0.6736447749607773,0.3233723871785943,1.1282568992264657,0.9345347167221655
39,0.7055101177288277,0.33149638884887883,1.1554170350409025,0.9819844061779599
40,0.7366287801713199,0.3397708620245604,1.185525625460482,1.0318300934324571
41,0.7666327830189285,0.34819897300146724,1.2163011461931317,1.0845316833702927
42,0.7957867499984222,0.3567839615803488,1.2479560272074992,1.1405584361122658
43,0.8254588497039662,0.36552914164639183,1.2807681584657011,1.1985171987351084
44,0.8565727143081824,0.3744379018607615,1.315048459165939,1.2573811833383515
45,0.8895219734341825,0.3835137064559106,1.3511446616526919,1.3173346983390646
46,0.92422957001785,0.3927600961270922,1.3894759298577615,1.3786020870584377
47,0.960284348537074,0.4021806890131982,1.4305314449410722,1.4414576982057223
48,0.9970879345687932,0.4117791817607104,1.474851770127627,1.5062369498405075
49,1.033970118912845,0.4215593506651715,1.5229875660173668,1.5733476646953055
50,1.0702741917031133,0.4315250528851664,1.572971311450179,1.6432811816613808
51,1.1054369134858706,0.4416802277243322,1.6236588014373947,1.7165622338684015
52,1.1390854916367334,0.45202889797739826,1.6753051351287676,1.793091891728908
53,1.1716863296361582,0.46257517133669374,1.7282384184345447,1.8704507222479285
54,1.2041900636029332,0.4733232418559474,1.7827989953564611,1.94881874887838
55,1.2373546814111172,0.4842773914685518,1.839406286651381,2.0284163654853855
56,1.2716274561643581,0.4954419915577708,1.8985660493119474,2.1095145865105325
57,1.3071307341612663,0.5068215045766377,1.9608624768519054,2.1924468510441795
58,1.343695838435963,0.5184204857155292,2.0269247841816984,2.2776215555626598
59,1.380924494210434,0.5302435846156044,2.0965302878751158,2.3655345356371056
60,1.4182672658361164,0.5422955471264735,2.1667197967107334,2.4567582622507618
61,1.4551180319834431,0.554581217106614,2.237725673523776,2.551870891993761
62,1.490928424195499,0.5671055382651783,2.3098684455986813,2.6482594262531616
63,1.5345115547221704,0.5798735560439418,2.3812637033751214,2.743528653124507
64,1.72672152579297,0.5928904195382267,2.4430220510155976,2.828948520181743
65,2.4514535282635412,0.6061613834557045,2.4981296919828475,2.90744681113668
66,4.169005414828485,0.6196918101120293,2.551263550618083,2.983782111159707
67,6.302648319809162,0.633487171462291,2.6042412246060396,3.0567867414744097
68,7.852426004934599,0.6475530511672944,2.6591443597645257,3.13143386370418
69,8.776368850642562,0.6618951466936779,2.7154634862103775,3.210558491969861
70,9.412943865071417,0.6765192714468771,2.7724068875896006,3.2924402913155486
71,9.891994515623994,0.6914313569359203,2.8320279548098277,3.375250980124736
72,10.335079569111826,0.7066374549690055,2.8970539129951267,3.4600808882006406
73,10.711896202591838,0.7221437398787698,2.969331910733035,3.547874251488307
74,11.085923503127828,0.7379565107761001,3.04058333572789,3.6408670384284365
75,11.567176649678947,0.75408219383127,3.1066640214913117,3.7319164323624485
76,11.958536266359706,0.7705273445811022,3.1748694101237294,3.8247955819904322
77,12.288588657501064,0.7872986502607705,3.244912927328286,3.9183275870560452
78,12.58952028768842,0.8044029321587431,3.3183579841191806,4.0128743652449685
79,12.907893580621643,0.8218471479932576,3.3991732546929088,4.110672487612473
80,13.178171030380815,0.8396383943085867,3.482696375097869,4.2136089179098954
81,13.4738365884061,0.857783908889209,3.565412372069833,4.322850015964829
82,13.838162255131783,0.8762910731898451,3.642605986970612,4.42515584142475
83,14.265819957844919,0.8951674147791456,3.722315023613571,4.528871126694265
84,14.55617922127081,0.914420609794631,3.805284004310276,4.633910329374044
85,14.853639872159599,0.9340584854062831,3.893762171504488,4.741070315845912
86,15.14899013266811,0.9540890222859665,3.986823482992321,4.852605647473135
87,15.42654576075257,0.9745203570796205,4.080099571620537,4.970757025705478
88,15.764335819958506,0.9953607848789081,4.167183026255856,5.08375562390747
89,16.20104296008713,1.0166187616887308,4.254969720705613,5.196345311762452
90,16.526482836451503,1.0383029068867213,4.346688949079819,5.311127484121542
91,16.82753565922413,1.060422005670504,4.442546718607584,5.42723722527006
92,17.102488763136662,1.0829850114881716,4.544468958886938,5.546695163141529
93,17.415622265888743,1.106001048447054,4.647211083670072,5.672709700835199
94,17.677508267938528,1.129479413695456,4.7441066664591505,5.796926258671874
95,18.15461176911061,1.153429579771617,4.841046318002555,5.919354268883103
96,18.475663167029783,1.1778611969136805,4.940217609061851,6.042654249799614
97,18.773025790791678,1.202784095323978,5.043947976665519,6.168367437802126
98,19.064345086095255,1.228208287380391,5.154114882631189,6.296195603104273
99,19.33591349607183,1.2541439697870007,5.2657484025828865,6.429378196599574
100,19.619914946213008,1.280601525655617,5.374935666878427,6.567338578284003
101,20.010996621243667,1.3075915265091351,5.480233338770438,6.698935183025818
102,20.40995164653739,1.3351247341969699,5.5881563009335835,6.83199968721639
103,20.70141004945828,1.3632121027120734,5.699288366430803,6.966376348918963
104,20.984091428922426,1.3918647798982542,5.815921782293267,7.102307868662085
105,21.28231707594524,1.4210941090356703,5.936829843858176,7.2431598787405935
106,21.54328893858676,1.4509116302914835,6.057699550369005,7.390620197983869
107,21.89574941053529,1.4813290820217246,6.172083002720311,7.532376575750275
108,22.315070989775652,1.5123584019094525,6.287571965867042,7.674045862031307
109,22.627108109632875,1.5440117279232894,6.406989223607781,7.817950922610983
110,22.919977957770158,1.5763013990794263,6.530220848216445,7.9625429989565495
111,23.188632039007544,1.609239955989239,6.6598268055872705,8.110886481607062
112,23.493999230458513,1.6428401411737978,6.790132761243462,8.265599091228223
113,23.748746248989384,1.6771148991259037,6.9145322272637975,8.419221135298972
114,24.21625773666246,1.712077376099967,7.038869366211217,8.57077421418168
115,24.529985380645435,1.7477409196104121,7.165317553391609,8.72309785792837
116,24.819664896013535,1.7841190776205247,7.296118883352232,8.877558791395543
117,25.112136576548707,1.821225597406582,7.4334122372427,9.034047696192246
118,25.380375716336705,1.8590744240870023,7.572378579807596,9.195586744290106
119,25.66409974772812,1.897679698815881,7.7100393058279035,9.363476026620129
120,26.03554072187994,1.9370557566551927,7.842458700788482,9.524164756620499
121,26.44519216024481,1.9772171241664762,7.977317336496818,9.686203996141554
122,26.733324353817537,2.0181785167971267,8.1152677794644,9.849383376097835
123,27.018155970754947,2.059954836200928,8.258255535288287,10.01386147054635
124,27.312970050880207,2.1025611677147604,8.40628030697782,10.1828661593063
125,27.578392974101018,2.146012778405234,8.554493374519856,10.35824600424551
126,27.90252256208317,2.1903251162880024,8.696144894162446,10.529710649236382
127,28.32857551021803,2.2355138117507902,8.838256337890611,10.700339819852736
128,28.642757872027044,2.281594682544207,8.984015224769834,10.873021301221172
129,28.93115607535488,2.3285837449355142,9.13315977872547,11.046326962378775
130,29.200197871701302,2.37649723443738,9.289286481939818,11.222726675688865
131,29.503126404289983,2.425351643202997,9.446385978501942,11.404918469891578
132,29.745190405736572,2.475163781028229,9.599573785100478,11.590023404300045
133,30.188736665727944,2.5259508762769154,9.75030092319349,11.770543922884734
134,30.527764761377732,2.577730731091353,9.902805642188692,11.95164803054168
135,30.814702732763706,2.6305219801148194,10.059487101093472,12.13479914116098
136,31.11180976521012,2.6843444911023853,10.221825128501456,12.319345140847124
137,31.37503251811603,2.73922002474822,10.387389782682177,12.50825852699369
138,31.66911702574332,2.795173164966532,10.55334245366111,12.704106291121574
139,31.98553331829767,2.852232877688947,10.712202853776873,12.894353047694358
140,32.4291742948169,2.9104347023176973,10.872862589720562,13.085201471763774
141,32.718911528463344,2.9698249695356784,11.036099913561705,13.276917381575393
142,33.00327054800743,3.030466197605785,11.203430975609383,13.469620850843093
143,33.29591185167102,3.092446953905389,11.37771306794844,13.666025012787165
144,33.567201862121074,3.1558928279590805,11.552200419071125,13.867958275506346
145,33.85148961154422,3.220992113484837,11.722158746245508,14.071725973664297
146,34.267410795003876,3.2880230826150942,11.8900245581781,14.271489906934445
147,34.611622789818746,3.357432801654528,12.060856770052812,14.472782154722674
148,34.89233738755858,3.4298780786785024,12.234819276872713,14.675082503726351
149,35.16745109583243,3.5064054236049382,12.415035083868986,14.879044747300144
150,35.46259225329993,3.588520049186408,12.598244465734057,15.087837399456818
151,35.71334679385748,3.678789483250239,12.781049739197607,15.303192163995295
152,36.07874034022831,3.780988707089427,12.957373929807783,15.512881558864747
153,36.47818448170515,3.9017190547290603,13.13485573864812,15.722692182950079
154,36.772861211612366,4.049418914442478,13.31609464986943,15.934572178009612
155,37.071192916923806,4.771621489657127,13.501199102399317,16.146905133682328
156,37.3313396709784,7.439654781792806,13.692658684308592,16.362666633324913
157,37.64176182560293,11.161816026019746,13.8846379627511,16.584354874264395
158,37.89004798166321,16.710931001384324,14.07131550469226,16.80727615291441
159,38.34717255195581,22.957974602702357,14.256965756962355,17.026986373711274
160,38.66100743983029,30.381824017697646,14.444498213694052,17.24730133407357
161,38.94415620624441,38.2561470175138,14.636111224349454,17.46957214678013
162,39.242276746758414,44.94976677227183,14.834114592002969,17.69348747236118
163,39.511525119293495,51.45896651611598,15.034260334469478,17.921717535759168
164,39.80272014018873,55.40199535541872,15.234508528688734,18.15624754427298
165,40.13514792547264,59.797978342650836,15.427780807537992,18.384817837489635
166,40.56881525875024,63.21795686019399,15.622798339472677,18.614031765192873
167,40.861150407488985,66.58614092194011,15.820237117460136,18.843976246738173
168,41.153648464962394,67.5529808728395,16.021501256421583,19.07459378653969
169,41.45882195823302,80.72405392661577,16.228987619305684,19.308723733165756
170,41.7456385502278,91.07559165294215,16.43684821689936,19.547273222543602
171,42.04419774823304,100.0,16.640197515106433,19.786735239830993
172,42.46749050829511,100.0,16.84163888069002,20.02246088104456
173,42.77681204990666,100.0,17.045006444083963,20.25913979165389
174,43.05283491426957,100.0,17.251030569420195,20.496832377520768
175,43.3087557229951,100.0,17.462145403772315,20.73585342227245
176,43.597404490533194,100.0,17.676270244609135,20.978764599187524
177,43.83724482029729,100.0,17.889984835317527,21.22631311837528
178,44.187065368075984,100.0,18.09810998429748,21.47040430431659
179,44.536503646720654,100.0,18.307094557223124,21.714676089547464
180,44.82448370601793,100.0,18.51832843988097,21.959958324761182
181,45.04887230575577,100.0,18.732854980836414,22.206226788190897
182,45.32132434763239,100.0,18.953231971891444,22.455259103023387
183,45.54299617080026,100.0,19.17417896117119,22.70858400988375
184,45.80471096636375,100.0,19.39216267605907,22.965486883832792
185,46.13769375109401,100.0,19.607071425740177,23.218322128264006
186,46.477761334828145,100.0,19.823924272003218,23.472199354344614
187,46.7040139519464,100.0,20.042989608231775,23.726712100682285
188,47.00010929438586,100.0,20.26726856238395,23.982996642246913
189,47.22519818424003,100.0,20.495251105261524,24.242155400187578
190,47.51663320070177,100.0,20.723958854882813,24.50616666846789
191,47.764143684595766,100.0,20.946388413727465,24.767486748462733
192,48.199901067985245,100.0,21.169790421609587,25.028922201764125
193,48.44259720077902,100.0,21.39549198652874,25.29138640400185
194,48.76015430866202,100.0,21.6244679088543,25.55474844312441
195,48.97176307734681,100.0,21.85945450487563,25.820225809693227
196,49.296877787640746,100.0,22.096459949805425,26.08817423116502
197,49.49689704520551,100.0,22.33292650432972,26.355723618302658
198,49.90979449177772,100.0,22.56584500305047,26.617304177577125
199,50.22351015922742,100.0,22.800273500513935,26.877988957382314
