environment,synthesis,pore_constraint,final_psi,final_concentration,final_s,final_ms,state
Open ocean,0.5,0.1,1.0047655089902165,0.049999999999999996,1.0086205667843562,7.124788266663236,accumulated
Shallow pool,0.5,1.0,1.0346575805315523,0.49999989831013597,1.1026027856771425,7.955550262115224,accumulated
Hydrothermal pore,0.5,5.0,1.1461361676210202,2.377888173762499,1.5233133394626341,11.161665527322516,accumulated
Deep sealed cavity,0.5,20.0,2.1848651228417895,5.285487453278287,2.9060459071140388,18.92874558760668,accumulated
