cycle,input_energy,life_number,localized_loop_survives,memory_factor_after_cycle
1,0.6,0.02651785714285715,False,0.75
2,3.6,0.4134230110978642,False,0.5625
3,1.2,0.4125024037017799,False,0.421875
4,4.2,1.236426188755071,True,0.48515624999999996
5,0.8,0.38372835436711333,False,0.4
6,3.0,1.2144952377210558,True,0.45999999999999996
