time,left,right
0.0,1.011,0.989
0.0178997209297105,1.0120620382065306,0.9899025587294971
0.1178997209297105,1.0180053262292117,0.9949416809556809
0.2178997209297105,1.0239655501670355,0.999974959800757
0.3178997209297105,1.0299426259345863,1.0050017802516584
0.4178997209297105,1.0359364740199617,1.010021519671781
0.5178997209297105,1.0419470197565415,1.0150335477905368
0.6178997209297105,1.0479741936006246,1.0200372266921587
0.7178997209297104,1.0540179314150009,1.0250319108036645
0.8178997209297104,1.0600781747585282,1.030016946881888
0.9178997209297104,1.0661548711817834,1.034991673999487
1.0178997209297105,1.0722479745288667,1.0399554235298327
1.1178997209297106,1.0783574452454332,1.0449075191306876
1.2178997209297107,1.0844832506930373,1.0498472767265783
1.3178997209297107,1.0906253654698737,1.0547740044897664
1.4178997209297108,1.0967837717380051,1.0596870028197238
1.517899720929711,1.1029584595571726,1.0645855643210176
1.617899720929711,1.1091494272252855,1.0694689737795084
1.717899720929711,1.1153566816256963,1.0743365081367688
1.8178997209297112,1.1215802385813702,1.0791874364626262
1.9178997209297113,1.127820123216062,1.0840210199257383
2.0178997209297114,1.1340763703226235,1.0888365117621073
2.1178997209297115,1.1403490247385675,1.0936331572414408
2.2178997209297115,1.146638141729021,1.0984101936312707
2.3178997209297116,1.1529437873772097,1.1031668501587393
2.4178997209297117,1.1592660389826204,1.107902347969967
2.517899720929712,1.1656049854669963,1.112615900086915
2.617899720929712,1.1719607277883308,1.1173067113616604
2.717899720929712,1.1783333793630288,1.121973978428004
2.817899720929712,1.1847230664964177,1.1266168896503308
2.917899720929712,1.191129928821798,1.1312346250696486
3.0178997209297123,1.197554119748234,1.135826356346735
3.1178997209297123,1.2039958069172907,1.1403912467023214
3.2178997209297124,1.2104551726689432,1.1449284508542505
3.3178997209297125,1.2169324145168845,1.149437114951547
3.4178997209297126,1.2234277456334781,1.1539163765053448
3.5178997209297127,1.2299413953446097,1.1583653643166198
3.617899720929713,1.2364736096347055,1.1627831984006802
3.717899720929713,1.2430246516621983,1.1671689899083753
3.817899720929713,1.2495948022857364,1.171521841043985
3.917899720929713,1.256184360601443,1.1758408449797628
4.017899720929713,1.2627936444915517,1.1801250857671082
4.117899720929713,1.2694229911847572,1.1843736382443508
4.217899720929712,1.2760727578286337,1.1885855679411412
4.317899720929712,1.2827433220744986,1.1927599309794428
4.417899720929712,1.289435082675106,1.1968957739711348
4.517899720929711,1.2961484600955813,1.2009921339122398
4.617899720929711,1.3028838971380219,1.2050480380738005
4.717899720929711,1.3096418595802115,1.2090625038894396
4.81789972092971,1.3164228368289135,1.2130345388396462
4.91789972092971,1.3232273425882324,1.216963140332843
5.01789972092971,1.3300559155435534,1.220847295583298
5.117899720929709,1.3369091200615912,1.2246859814859603
5.217899720929709,1.3437875469071066,1.2284781644883036
5.3178997209297085,1.3506918139768707,1.2322228004592828
5.417899720929708,1.3576225670514839,1.2359188345555168
5.517899720929708,1.3645804805656825,1.2395652010848248
5.6178997209297075,1.371566258397794,1.2431608233672593
5.717899720929707,1.3785806346790295,1.246704613593795
5.817899720929707,1.3856243746233343,1.2501954726828446
5.917899720929706,1.392698275378543,1.2536322901347956
6.017899720929706,1.3998031668996234,1.257013943884772
6.117899720929706,1.406939912844822,1.2603393001538503
6.217899720929705,1.4141094114955617,1.2636072132989704
6.317899720929705,1.421312596700974,1.2668165256618111
6.417899720929705,1.428550438847988,1.2699660674169104
6.517899720929704,1.4358239458579347,1.27305465641934
6.617899720929704,1.443134164210668,1.2760810980522617
6.7178997209297036,1.4504821799972392,1.2790441850747205
6.817899720929703,1.4578691200022078,1.2819426974700463
6.917899720929703,1.4652961528167183,1.2847754022952715
7.0178997209297025,1.4727644899835108,1.2875410535319902
7.117899720929702,1.4802753871750876,1.290238391939115
7.217899720929702,1.4878301454063017,1.2928661449080172
7.317899720929701,1.4954301122826885,1.295423026320565
7.417899720929701,1.5030766832859093,1.297907736410604
7.517899720929701,1.5107713030977334,1.3003189616294581
7.6178997209297,1.518515466964041,1.3026553745160645
7.7178997209297,1.526310722100383,1.3049156335723846
7.8178997209297,1.5341586691407019,1.3070983831447776
7.917899720929699,1.5420609636308713,1.3092022533120542
8.0178997209297,1.5500193175687824,1.3112258597809696
8.1178997209297,1.558035500992766,1.3131678037899572
8.2178997209297,1.5661113436202139,1.3150266720219417
8.317899720929699,1.5742487365383284,1.316801036527118
8.417899720929698,1.5824496339490024,1.3184894546566286
8.517899720929698,1.590716054969911,1.320090469008109
8.617899720929698,1.5990500854939689,1.3216026073841358
8.717899720929697,1.6074538801093892,1.3230243827646437
8.817899720929697,1.6159296640826633,1.3243542932944448
8.917899720929697,1.6244797354068605,1.3255908222870245
9.017899720929696,1.6331064669177402,1.3267324382458545
9.117899720929696,1.6418123084802507,1.3277775949045092
9.217899720929696,1.6505997892480877,1.3287247312869404
9.317899720929695,1.659471519999073,1.329572271789317
9.417899720929695,1.6684301955492145,1.330318626284904
9.517899720929694,1.677478597248403,1.3309621902535156
9.617899720929694,1.6866195955608068,1.3315013449371433
9.717899720929694,1.6958561527331217,1.3319344575234275
9.817899720929693,1.7051913255539426,1.3322598813587074
9.917899720929693,1.7146282682076268,1.3324759561924564
10.017899720929693,1.72417023522613,1.3325810084549796
10.117899720929692,1.7338205845424,1.3325733515703237
10.217899720929692,1.7435827806490287,1.3324512863064237
10.317899720929692,1.753460397865974,1.3322131011645832
10.417899720929691,1.7634571237212693,1.3318570728104664
10.517899720929691,1.7735767624487604,1.33138146654885
10.61789972092969,1.7838232386070145,1.330784536844467
10.71789972092969,1.79420060082366,1.3300645278913463
10.81789972092969,1.804713025669528,1.3292196742331341
10.91789972092969,1.8153648216670766,1.3282482014369585
11.01789972092969,1.8261604334376795,1.3271483268234776
11.117899720929689,1.837104445992476,1.3259182602558253
11.217899720929688,1.8482015891715686,1.3245562049902462
11.317899720929688,1.8594567422364598,1.3230603585912852
11.417899720929688,1.8708749386207013,1.3214289139144646
11.517899720929687,1.8824613708438218,1.319660060159456
11.617899720929687,1.8942213955936689,1.3177519839968157
11.717899720929687,1.906160538982369,1.3157028707714153
11.817899720929686,1.9182845019811692,1.3135109057857564
11.917899720929686,1.9305991660394624,1.3111742756664102
12.017899720929686,1.9431105988933342,1.3086911698168686
12.117899720929685,1.9558250605689804,1.3060597819601314
12.217899720929685,1.96874900958634,1.303278311774386
12.317899720929685,1.981889109368268,1.3003449666251585
12.417899720929684,1.9952522348605228,1.2972579633973238
