step,aliphatic,aromatic
0,0.98,1.0
1,0.9604,1.0
2,0.941192,1.0
3,0.92236816,1.0
4,0.9039207968,1.0
5,0.885842380864,1.0
6,0.86812553324672,1.0
7,0.8507630225817856,1.0
8,0.8337477621301499,1.0
9,0.8170728068875469,1.0
10,0.800731350749796,1.0
11,0.7847167237348001,1.0
12,0.769022389260104,1.0
13,0.7536419414749019,1.0
14,0.7385691026454039,1.0
15,0.7237977205924958,1.0
16,0.7093217661806459,1.0
17,0.6951353308570329,1.0
18,0.6812326242398923,1.0
19,0.6676079717550945,1.0
20,0.6542558123199925,1.0
21,0.6411706960735927,1.0
22,0.6283472821521208,1.0
23,0.6157803365090784,1.0
24,0.6034647297788968,1.0
25,0.5913954351833188,1.0
26,0.5795675264796525,1.0
27,0.5679761759500594,1.0
28,0.5566166524310583,1.0
29,0.5454843193824371,1.0
30,0.5345746329947884,1.0
31,0.5238831403348926,1.0
32,0.5134054775281948,1.0
33,0.5031373679776309,1.0
34,0.4930746206180783,1.0
35,0.4832131282057167,1.0
36,0.47354886564160237,1.0
37,0.46407788832877034,1.0
38,0.45479633056219493,1.0
39,0.445700403950951,1.0
40,0.43678639587193197,1.0
41,0.4280506679544933,1.0
42,0.41948965459540344,1.0
43,0.41109986150349537,1.0
44,0.4028778642734255,1.0
45,0.39482030698795695,1.0
46,0.38692390084819783,1.0
47,0.37918542283123385,1.0
48,0.37160171437460915,1.0
49,0.364169680087117,1.0
50,0.3568862864853746,1.0
51,0.3497485607556671,1.0
52,0.3427535895405538,1.0
53,0.3358985177497427,1.0
54,0.3291805473947479,1.0
55,0.32259693644685294,1.0
56,0.3161449977179159,1.0
57,0.30982209776355757,1.0
58,0.30362565580828643,1.0
59,0.2975531426921207,1.0
60,0.2916020798382783,1.0
61,0.2857700382415127,1.0
62,0.28005463747668247,1.0
63,0.27445354472714883,1.0
64,0.26896447383260585,1.0
65,0.26358518435595374,1.0
66,0.25831348066883464,1.0
67,0.25314721105545795,1.0
68,0.24808426683434878,1.0
69,0.2431225814976618,1.0
70,0.23826012986770856,1.0
71,0.2334949272703544,1.0
72,0.2288250287249473,1.0
73,0.22424852815044835,1.0
74,0.21976355758743937,1.0
75,0.2153682864356906,1.0
76,0.21106092070697677,1.0
77,0.20683970229283724,1.0
78,0.2027029082469805,1.0
79,0.1986488500820409,1.0
80,0.19467587308040007,1.0
81,0.19078235561879206,1.0
82,0.18696670850641622,1.0
83,0.18322737433628788,1.0
84,0.17956282684956212,1.0
85,0.17597157031257088,1.0
86,0.17245213890631947,1.0
87,0.1690030961281931,1.0
88,0.16562303420562924,1.0
89,0.16231057352151665,1.0
90,0.15906436205108632,1.0
91,0.15588307481006458,1.0
92,0.15276541331386329,1.0
93,0.14971010504758603,1.0
94,0.1467159029466343,1.0
95,0.14378158488770162,1.0
96,0.14090595318994759,1.0
97,0.13808783412614864,1.0
98,0.13532607744362565,1.0
99,0.13261955589475313,1.0
100,0.12996716477685807,1.0
101,0.12736782148132092,1.0
102,0.1248204650516945,1.0
103,0.1223240557506606,1.0
104,0.1198775746356474,1.0
105,0.11748002314293444,1.0
106,0.11513042268007576,1.0
107,0.11282781422647424,1.0
108,0.11057125794194475,1.0
109,0.10835983278310586,1.0
110,0.10619263612744374,1.0
111,0.10406878340489487,1.0
112,0.10198740773679697,1.0
113,0.09994765958206103,1.0
114,0.09794870639041982,1.0
115,0.09598973226261143,1.0
116,0.0940699376173592,1.0
117,0.092188538865012,1.0
118,0.09034476808771176,1.0
119,0.08853787272595752,1.0
120,0.08676711527143836,1.0
121,0.0850317729660096,1.0
122,0.0833311375066894,1.0
123,0.0816645147565556,1.0
124,0.0800312244614245,1.0
125,0.07843059997219601,1.0
126,0.0768619879727521,1.0
127,0.07532474821329706,1.0
128,0.07381825324903112,1.0
129,0.07234188818405049,1.0
130,0.07089505042036948,1.0
131,0.06947714941196209,1.0
132,0.06808760642372284,1.0
133,0.06672585429524838,1.0
134,0.06539133720934341,1.0
135,0.06408351046515655,1.0
136,0.06280184025585342,1.0
137,0.061545803450736354,1.0
138,0.060314887381721624,1.0
139,0.05910858963408719,1.0
140,0.057926417841405446,1.0
141,0.05676788948457734,1.0
142,0.055632531694885794,1.0
143,0.054519881060988075,1.0
144,0.05342948343976831,1.0
145,0.052360893770972944,1.0
146,0.05131367589555348,1.0
147,0.05028740237764241,1.0
148,0.04928165433008956,1.0
149,0.048296021243487766,1.0
150,0.047330100818618014,1.0
151,0.046383498802245654,1.0
152,0.04545582882620074,1.0
153,0.044546712249676726,1.0
154,0.04365577800468319,1.0
155,0.042782662444589524,1.0
156,0.04192700919569773,1.0
157,0.04108846901178378,1.0
158,0.0402666996315481,1.0
159,0.03946136563891714,1.0
160,0.0386721383261388,1.0
161,0.03789869555961602,1.0
162,0.037140721648423705,1.0
163,0.03639790721545523,1.0
164,0.03566994907114612,1.0
165,0.034956550089723204,1.0
166,0.03425741908792874,1.0
167,0.033572270706170165,1.0
168,0.03290082529204676,1.0
169,0.03224280878620583,1.0
170,0.03159795261048171,1.0
171,0.03096599355827208,1.0
172,0.030346673687106637,1.0
173,0.029739740213364504,1.0
174,0.029144945409097213,1.0
175,0.028562046500915268,1.0
176,0.027990805570896962,1.0
177,0.027430989459479024,1.0
178,0.02688236967028944,1.0
179,0.026344722276883652,1.0
180,0.02581782783134598,1.0
181,0.02530147127471906,1.0
182,0.024795441849224678,1.0
183,0.024299533012240186,1.0
184,0.02381354235199538,1.0
185,0.023337271504955473,1.0
186,0.022870526074856363,1.0
187,0.022413115553359234,1.0
188,0.02196485324229205,1.0
189,0.02152555617744621,1.0
190,0.021095045053897286,1.0
191,0.02067314415281934,1.0
192,0.020259681269762953,1.0
193,0.019854487644367695,1.0
194,0.019457397891480342,1.0
195,0.019068249933650736,1.0
196,0.01868688493497772,1.0
197,0.018313147236278166,1.0
198,0.0179468842915526,1.0
199,0.01758794660572155,1.0
