period,hydrolysis,final_memory,ratchet_state
1.5,0.08,2.832595716678892,retained
1.5,0.10161290322580646,2.6212493478425576,retained
1.5,0.12322580645161291,2.432082204287285,retained
1.5,0.14483870967741935,2.2624225059271317,retained
1.5,0.1664516129032258,2.109945265124835,retained
1.5,0.18806451612903224,1.9726251574537295,retained
1.5,0.20967741935483875,1.848695996245112,retained
1.5,0.2312903225806452,1.7366158655757968,retained
1.5,0.25290322580645164,1.6350371037890497,retained
1.5,0.2745161290322581,1.5427804468696626,retained
1.5,0.29612903225806453,1.4588127410081861,retained
1.5,0.317741935483871,1.3822277190401355,retained
1.5,0.3393548387096775,1.3122294083035915,retained
1.5,0.3609677419354839,1.2481177996690265,retained
1.5,0.38258064516129037,1.1892764606304116,retained
1.5,0.4041935483870968,1.135161820744247,retained
1.5,0.42580645161290326,1.0852938965024206,retained
1.5,0.4474193548387097,1.0392482558955283,retained
1.5,0.46903225806451615,0.996649051291878,weak_or_lost
1.5,0.4906451612903226,0.9571629735274724,weak_or_lost
1.5,0.512258064516129,0.9204940008736792,weak_or_lost
1.5,0.5338709677419355,0.8863788343331125,weak_or_lost
1.5,0.555483870967742,0.8545829259461059,weak_or_lost
1.5,0.5770967741935484,0.8248970198416213,weak_or_lost
1.5,0.5987096774193549,0.7971341369543041,weak_or_lost
1.5,0.6203225806451613,0.7711269439238154,weak_or_lost
1.5,0.6419354838709678,0.7467254549243997,weak_or_lost
1.5,0.6635483870967742,0.7237950222383712,weak_or_lost
1.5,0.6851612903225807,0.7022145774551913,weak_or_lost
1.5,0.7067741935483871,0.6818750903912851,weak_or_lost
1.5,0.7283870967741936,0.6626782173074524,weak_or_lost
1.5,0.75,0.6445351138553497,weak_or_lost
1.8387096774193548,0.08,3.3132958836294426,retained
1.8387096774193548,0.10161290322580646,3.0201667253267055,retained
1.8387096774193548,0.12322580645161291,2.763829104004326,retained
1.8387096774193548,0.14483870967741935,2.538963762901682,retained
1.8387096774193548,0.1664516129032258,2.341081505493895,retained
1.8387096774193548,0.18806451612903224,2.166387452295757,retained
1.8387096774193548,0.20967741935483875,2.011668197950591,retained
1.8387096774193548,0.2312903225806452,1.874197920342291,retained
1.8387096774193548,0.25290322580645164,1.751660184969093,retained
1.8387096774193548,0.2745161290322581,1.6420827567962828,retained
1.8387096774193548,0.29612903225806453,1.5437832001589658,retained
1.8387096774193548,0.317741935483871,1.4553234329743439,retained
1.8387096774193548,0.3393548387096775,1.3754717192766566,retained
1.8387096774193548,0.3609677419354839,1.3031708459945948,retained
1.8387096774193548,0.38258064516129037,1.2375114458705592,retained
1.8387096774193548,0.4041935483870968,1.1777096066175377,retained
1.8387096774193548,0.42580645161290326,1.1230880535102548,retained
1.8387096774193548,0.4474193548387097,1.0730603141059363,retained
1.8387096774193548,0.46903225806451615,1.0271173742004847,retained
1.8387096774193548,0.4906451612903226,0.9848164171580561,weak_or_lost
1.8387096774193548,0.512258064516129,0.9457713074569752,weak_or_lost
1.8387096774193548,0.5338709677419355,0.9096445361818009,weak_or_lost
1.8387096774193548,0.555483870967742,0.8761403933250582,weak_or_lost
1.8387096774193548,0.5770967741935484,0.8449991708425606,weak_or_lost
1.8387096774193548,0.5987096774193549,0.8159922328331569,weak_or_lost
1.8387096774193548,0.6203225806451613,0.788917816140441,weak_or_lost
1.8387096774193548,0.6419354838709678,0.763597447051228,weak_or_lost
1.8387096774193548,0.6635483870967742,0.7398728783773318,weak_or_lost
1.8387096774193548,0.6851612903225807,0.7176034667002762,weak_or_lost
1.8387096774193548,0.7067741935483871,0.6966639224669489,weak_or_lost
1.8387096774193548,0.7283870967741936,0.676942376389033,weak_or_lost
1.8387096774193548,0.75,0.6583387145846262,weak_or_lost
2.1774193548387095,0.08,3.731811660803328,retained
2.1774193548387095,0.10161290322580646,3.354604837042153,retained
2.1774193548387095,0.12322580645161291,3.031985558713266,retained
2.1774193548387095,0.14483870967741935,2.7548188320745206,retained
2.1774193548387095,0.1664516129032258,2.515623006421359,retained
2.1774193548387095,0.18806451612903224,2.3082558138128655,retained
2.1774193548387095,0.20967741935483875,2.1276619572191984,retained
2.1774193548387095,0.2312903225806452,1.9696699099774753,retained
2.1774193548387095,0.25290322580645164,1.8308281023942026,retained
2.1774193548387095,0.2745161290322581,1.7082726663115266,retained
2.1774193548387095,0.29612903225806453,1.599620493178523,retained
2.1774193548387095,0.317741935483871,1.50288262080446,retained
2.1774193548387095,0.3393548387096775,1.4163939658782225,retained
2.1774193548387095,0.3609677419354839,1.3387562168134817,retained
2.1774193548387095,0.38258064516129037,1.2687913367092578,retained
2.1774193548387095,0.4041935483870968,1.205503632606152,retained
2.1774193548387095,0.42580645161290326,1.148048751235083,retained
2.1774193548387095,0.4474193548387097,1.0957082840742856,retained
2.1774193548387095,0.46903225806451615,1.0478689223859488,retained
2.1774193548387095,0.4906451612903226,1.004005309194387,retained
2.1774193548387095,0.512258064516129,0.9636659003704922,weak_or_lost
2.1774193548387095,0.5338709677419355,0.9264612794251996,weak_or_lost
2.1774193548387095,0.555483870967742,0.8920544769029254,weak_or_lost
2.1774193548387095,0.5770967741935484,0.8601529306657936,weak_or_lost
2.1774193548387095,0.5987096774193549,0.8305017920585741,weak_or_lost
2.1774193548387095,0.6203225806451613,0.8028783382777037,weak_or_lost
2.1774193548387095,0.6419354838709678,0.7770872958943026,weak_or_lost
2.1774193548387095,0.6635483870967742,0.7529569165212621,weak_or_lost
2.1774193548387095,0.6851612903225807,0.7303356747615266,weak_or_lost
2.1774193548387095,0.7067741935483871,0.7090894821816021,weak_or_lost
2.1774193548387095,0.7283870967741936,0.6890993302031788,weak_or_lost
2.1774193548387095,0.75,0.6702592903629577,weak_or_lost
2.5161290322580645,0.08,4.095565495211814,retained
2.5161290322580645,0.10161290322580646,3.634725770895121,retained
2.5161290322580645,0.12322580645161291,3.2488166203508486,retained
2.5161290322580645,0.14483870967741935,2.923691723000543,retained
2.5161290322580645,0.1664516129032258,2.64809969900077,retained
2.5161290322580645,0.18806451612903224,2.413061706760409,retained
2.5161290322580645,0.20967741935483875,2.2113873034420553,retained
2.5161290322580645,0.2312903225806452,2.037297145154205,retained
2.5161290322580645,0.25290322580645164,1.886128363921127,retained
2.5161290322580645,0.2745161290322581,1.7541040207931375,retained
2.5161290322580645,0.29612903225806453,1.6381522994474826,retained
2.5161290322580645,0.317741935483871,1.5357643778804686,retained
2.5161290322580645,0.3393548387096775,1.444882430353113,retained
2.5161290322580645,0.3609677419354839,1.363811145471002,retained
2.5161290322580645,0.38258064516129037,1.2911476349532163,retained
2.5161290322580645,0.4041935483870968,1.2257257550325698,retained
2.5161290322580645,0.42580645161290326,1.1665717478593076,retained
2.5161290322580645,0.4474193548387097,1.1128687944484117,retained
2.5161290322580645,0.46903225806451615,1.0639286000906583,retained
2.5161290322580645,0.4906451612903226,1.0191685433528768,retained
2.5161290322580645,0.512258064516129,0.9780932381374585,weak_or_lost
2.5161290322580645,0.5338709677419355,0.9402796057232281,weak_or_lost
2.5161290322580645,0.555483870967742,0.9053647463808562,weak_or_lost
2.5161290322580645,0.5770967741935484,0.8730360504391679,weak_or_lost
2.5161290322580645,0.5987096774193549,0.8430231061166755,weak_or_lost
2.5161290322580645,0.6203225806451613,0.8150910533816907,weak_or_lost
2.5161290322580645,0.6419354838709678,0.7890351052424591,weak_or_lost
2.5161290322580645,0.6635483870967742,0.7646760145833145,weak_or_lost
2.5161290322580645,0.6851612903225807,0.7418563093494346,weak_or_lost
2.5161290322580645,0.7067741935483871,0.7204371541722211,weak_or_lost
2.5161290322580645,0.7283870967741936,0.7002957244614687,weak_or_lost
2.5161290322580645,0.75,0.6813230011561127,weak_or_lost
2.854838709677419,0.08,4.41119936651468,retained
2.854838709677419,0.10161290322580646,3.8691299769509957,retained
