time,monomer,product,memory,water_activity,scenario
0.0,1.0,0.01,0.01,1.0,steady_wet
0.01350623046488276,0.9978457635237211,0.011035591173796794,0.010019293906013105,0.9999718690751109,steady_wet
0.14856853511371035,0.9769330559263908,0.02097045836793611,0.01039683770085734,0.9965999865368289,steady_wet
0.3267295423937642,0.950467933777546,0.03324607629837976,0.011377149369276106,0.9836276101998532,steady_wet
0.5190353496508352,0.9222853590701466,0.04600636204679223,0.013010760453633495,0.9590276276215974,steady_wet
0.7190353496508353,0.8924113544394086,0.059278853135102644,0.01532312966764675,0.922366822031488,steady_wet
0.9190353496508352,0.8612644028642413,0.07294773540455658,0.018265348504716675,0.8753059435278472,steady_wet
1.1190353496508352,0.828476758967758,0.08724270046128128,0.021860511107660064,0.8190037871255356,steady_wet
1.3190353496508351,0.7939889606403538,0.10224296405485243,0.02614274376404689,0.7548466987713225,steady_wet
1.519035349650835,0.7579977381294671,0.1179057051149706,0.031150626282567425,0.6844144389056573,steady_wet
1.719035349650835,0.7208889902456748,0.13409983554447108,0.0369220792691532,0.6094412835177017,steady_wet
1.919035349650835,0.683163922085002,0.15064112430288426,0.04349077695906222,0.5317733205147441,steady_wet
2.119035349650835,0.645368515945528,0.16732403578382313,0.05088393892395652,0.45332299291110845,steady_wet
2.3190353496508354,0.6080351327933631,0.18394654064874436,0.059121173063908766,0.37602200813410636,steady_wet
2.5190353496508355,0.5716414100450622,0.2003259978536801,0.06821394204331546,0.30177377297620755,steady_wet
2.7190353496508357,0.5365874385437364,0.2163061810856984,0.07816522393591564,0.2324065254027644,steady_wet
2.919035349650836,0.5031888648731443,0.23175701074482824,0.08896901950012,0.16962831726573102,steady_wet
3.119035349650836,0.4716817238471636,0.24656930323153595,0.10060948905761852,0.1149849563983687,steady_wet
3.3190353496508362,0.4422344000094226,0.26064693771016073,0.11305964610164448,0.06982194369614925,steady_wet
3.5190353496508364,0.4149626883946175,0.2738985063324529,0.12627966681829692,0.03525134241924727,steady_wet
3.7190353496508366,0.38994494422290865,0.28623000616531863,0.1402149810859926,0.012124395504347685,steady_wet
3.9190353496508368,0.36723537546739804,0.2975396220742125,0.15479438677439863,0.0010105651384316183,steady_wet
4.1190353496508365,0.3468744213375438,0.3077152180423558,0.16992847525285346,0.002183510709796277,steady_wet
4.319035349650837,0.3288958061853134,0.3166348076905338,0.18550867253148084,0.01561435040569148,steady_wet
4.519035349650837,0.31333028687982994,0.324169985361352,0.20140718687640613,0.04097237237840279,steady_wet
4.719035349650837,0.3002063841594528,0.3301920341798194,0.21747810864443298,0.07763317796851227,steady_wet
4.919035349650837,0.2895485665497879,0.3345801690198914,0.23355983070435604,0.12469405647215337,steady_wet
5.119035349650837,0.2813734808994367,0.33723112641605246,0.2494788501418665,0.18099621287446482,steady_wet
5.319035349650838,0.2756849119089386,0.3380691099847733,0.26505488060948224,0.2451533012286784,steady_wet
5.519035349650838,0.27246819675219197,0.33705498373599124,0.28010706188828477,0.31558556109434366,steady_wet
5.719035349650838,0.2716848000133987,0.3341936217620292,0.29446091623076204,0.39055871648229945,steady_wet
5.919035349650838,0.27326765065699143,0.32953849870940066,0.30795558994302347,0.468226679485257,steady_wet
6.119035349650838,0.2771176548889972,0.3231929362327988,0.32045085271388346,0.5466770070888926,steady_wet
6.3190353496508385,0.28310155002887183,0.31530786240155845,0.33183332056616394,0.6239779918658946,steady_wet
6.519035349650839,0.2910510028443621,0.30607641669429314,0.3420214262455839,0.6982262270237938,steady_wet
6.719035349650839,0.3007626427523959,0.2957261500724417,0.35096877764278894,0.7675934745972367,steady_wet
6.919035349650839,0.31199861390261213,0.2845098432814396,0.3586657041667696,0.83037168273427,steady_wet
7.119035349650839,0.3244872684060001,0.27269604298310257,0.3651389689565563,0.8850150436016322,steady_wet
7.319035349650839,0.3379238134151817,0.26056028379854823,0.3704497946951841,0.9301780563038513,steady_wet
7.5190353496508395,0.35197104216939334,0.24837765785143956,0.37469048826346407,0.9647486575807531,steady_wet
7.71903534965084,0.3662606683043734,0.23641697911972784,0.3779800370971403,0.9878756044956525,steady_wet
7.91903534965084,0.3803961625142654,0.2249363546702672,0.3804590800033248,0.9989894348615684,steady_wet
8.11903534965084,0.3939582574550553,0.21417961084551024,0.3822846296551409,0.9978164892902036,steady_wet
8.31903534965084,0.4065143220111759,0.20437281477760214,0.383624854335087,0.9843856495943084,steady_wet
8.519035349650839,0.4176324962827811,0.19572014537910246,0.38465413058807585,0.9590276276215969,steady_wet
